Date,Day,RouteId,Line,From,To,Slot,BusMin,WalkingFallbackMin,CarMin,ScrapedDetails,HasScreenshot,ScreenshotPath
2026-09-20,Sun,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-20\1_00_PM\MC-24\metro.jpg"
2026-09-20,Sun,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,13," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-20\1_00_PM\MC-25\metro.jpg"
2026-09-21,Mon,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,18," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-21\1_00_PM\MC-03\metro.jpg"
2026-09-21,Mon,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,13," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-21\1_00_PM\MC-20\metro.jpg"
2026-09-21,Mon,MC-21,Purple,"Joka","Behala Chowrasta",12:00 AM,14,57,9," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-21\12_00_AM\MC-21\metro.jpg"
2026-09-21,Mon,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,12," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-21\1_00_PM\MC-21\metro.jpg"
2026-09-21,Mon,MC-23,Purple,"Behala Chowrasta","Taratala",12:00 AM,8,33,5," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-21\12_00_AM\MC-23\metro.jpg"
2026-09-21,Mon,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,10," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-21\1_00_PM\MC-23\metro.jpg"
2026-09-21,Mon,MC-24,Purple,"Taratala","Majerhat",12:00 AM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-21\12_00_AM\MC-24\metro.jpg"
2026-09-21,Mon,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-21\1_00_PM\MC-24\metro.jpg"
2026-09-21,Mon,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,15," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-21\1_00_PM\MC-25\metro.jpg"
2026-09-22,Tue,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,16," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-22\1_00_PM\MC-03\metro.jpg"
2026-09-22,Tue,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,11," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-22\1_00_PM\MC-20\metro.jpg"
2026-09-22,Tue,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,12," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-22\1_00_PM\MC-21\metro.jpg"
2026-09-22,Tue,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,8," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-22\1_00_PM\MC-23\metro.jpg"
2026-09-22,Tue,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-22\1_00_PM\MC-24\metro.jpg"
2026-09-22,Tue,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,16," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-22\1_00_PM\MC-25\metro.jpg"
